s,d,h
0.76,60,150.0
0.75,80,150.0
0.69,100,150.0
0.66,120,150.0
0.64,140,150.0
0.63,160,150.0
0.62,180,150.0
0.68,60,155.0
0.71,80,155.0
0.64,100,155.0
0.63,120,155.0
0.6,140,155.0
0.6,160,155.0
0.6,180,155.0
0.61,60,160.0
0.63,80,160.0
0.59,100,160.0
0.58,120,160.0
0.57,140,160.0
0.57,160,160.0
0.56,180,160.0
0.54,60,165.0
0.56,80,165.0
0.54,100,165.0
0.54,120,165.0
0.54,140,165.0
0.53,160,165.0
0.54,180,165.0
0.48,60,170.0
0.5,80,170.0
0.49,100,170.0
0.5,120,170.0
0.5,140,170.0
0.51,160,170.0
0.5,180,170.0
0.37,60,175.0
0.45,80,175.0
0.42,100,175.0
0.44,120,175.0
0.45,140,175.0
0.47,160,175.0
0.48,180,175.0
0.28,60,180.0
0.38,80,180.0
0.37,100,180.0
0.4,120,180.0
0.42,140,180.0
0.43,160,180.0
0.45,180,180.0
0.2,60,185.0
0.32,80,185.0
0.33,100,185.0
0.36,120,185.0
0.39,140,185.0
0.41,160,185.0
0.43,180,185.0
0.13,60,190.0
0.26,80,190.0
0.25,100,190.0
0.31,120,190.0
0.34,140,190.0
0.37,160,190.0
0.39,180,190.0
